Sentence,Token,Tag
54,لمدون,O
54,لإسلامية,O
54,فالتاريخ,O
54,،,O
54,ؤ,O
54,عندها,O
54,بزاف,O
54,ديال,O
54,د,O
54,سّميات,O
54,منها,O
54,؛,O
54,بيت,B-LOC
54,لمقدس,I-LOC
54,،,O
54,لقدس,B-LOC
54,الشريف,I-LOC
54,،,O
54,ؤ,O
54,أولى,O
54,القبلتين,O
54,.,O
55,ؤ,O
55,لعاصمة,O
55,ديال,O
55,فلسطين,B-LOC
55,التاريخية,O
55,.,O
56,وعندها,O
56,مكانة,O
56,كبيرة,O
56,عند,O
56,لمسلمين,O
56,.,O
57,لقدس,B-LOC
57,القرآن,O
57,ولّا,O
57,القرَان,O
57,،,O
57,اللي,O
57,كيتسما,O
57,تا,O
57,القرآن,O
57,الكريم,O
57,،,O
57,هو,O
57,الكتاب,O
57,المقدًس,O
57,فالدين,O
57,د,O
57,الإسلام,B-MISC
57,.,O
58,بالنسبة,O
58,ل,O
58,لمسلمين,O
58,،,O
58,لقرآن,O
58,هو,O
58,لكلام,O
58,ديال,O
58,الله,O
58,لي,O
58,نزل,O
58,على,O
58,الرسول,O
58,محمد,B-PER
58,صلى,O
58,الله,O
58,عليه,O
58,و,O
58,سلّم,O
58,،,O
58,و,O
58,لي,O
58,فرقو,O
58,على,O
58,الناس,O
58,كاملين,O
58,.,O
59,ف,O
59,لإسلام,B-MISC
59,تيتعتابر,O
59,لقرآن,O
59,هو,O
59,آخر,O
59,كتاب,O
59,سماوي,O
59,مورا,O
59,الصحف,O
59,د,O
59,براهيم,B-PER
59,والزابور,O
59,والتوارة,O
59,و,O
59,لإنجيل,O
59,.,O
60,تيآمنو,O
60,لمسلمين,O
60,ب,O
60,لي,O
60,لقرآن,O
60,معجزة,O
60,ديال,O
60,النبي,O
60,محمد,B-PER
60,صلى,O
60,الله,O
60,عليه,O
60,و,O
60,سلّم,O
60,حيت,O
60,تيتحدا,O
60,ݣاع,O
60,الناس,O
60,باش,O
